Имя,Табельный номер,Основная роль,Договор,Формат торговой точки,Торговая дочка,Город
Морозова Полина Дмитриевна,24192712,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Кузнецов Роман Алексеевич,24213709,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Соколова Екатерина Игоревна,24209872,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Лебедев Максим Сергеевич,24203116,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Попов Денис Владимирович,24188961,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Васильев Андрей Николаевич,24166115,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Петрова Мария Александровна,24161445,Старший кассир-комплектовщик (2/2),ТД,ДС,7565,Санкт-Петербург
Новикова Ольга Сергеевна,24121550,Сборщик КК (2/2),ТД,ДС,7565,Санкт-Петербург
Морозов Артём Викторович,24186722,Повар-пекарь,ТД,ДС,7565,Санкт-Петербург
Павлов Владислав Иванович,24180240,Несборщик,ТД,ДС,7565,Санкт-Петербург
Фёдоров Илья Петрович,24169901,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Кузнецова Анна Михайловна,24191727,Несборщик,ТД,ДС,7565,Санкт-Петербург
Соловьёв Кирилл Олегович,24188665,Повар-пекарь,ТД,ДС,7565,Санкт-Петербург
Александрова Светлана Павловна,24199742,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Борисов Глеб Артурович,24186986,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Григорьев Ян Романович,24216127,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Ефимова Любовь Владимировна,24165407,Кассир-комплектовщик,ТД,ДС,7565,Санкт-Петербург
Киселёва Юлия Дмитриевна,24214652,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Белякова Елена Викторовна,24150300,Старший кассир-комплектовщик,ТД,ДС,7565,Санкт-Петербург
Тихонова Дарья Андреевна,24169504,Кассир-комплектовщик,ТД,ДС,7565,Санкт-Петербург
Никитин Иван Максимович,213749,Сборщик (построчно) (4/2),Аутсорсинг,ДС,7565,Санкт-Петербург
Степанов Николай Валерьевич,24130775,Кассир-комплектовщик универсальный (5/1),ТД,ДС,7565,Санкт-Петербург
Михайлов Антон Евгеньевич,24194235,Разнорабочий,ТД,ДС,7565,Санкт-Петербург
Алексеева Татьяна Сергеевна,24218045,Кассир-комплектовщик,ТД,ДС,7565,Санкт-Петербург
Егоров Арсений Владимирович,24211816,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Захаров Павел Денисович,24197450,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Семёнов Виктор Петрович,24190149,Старший кассир-комплектовщик (2/2),ТД,ДС,7565,Санкт-Петербург
Карпова Алиса Романовна,24194038,Сборщик КК,ТД,ДС,7565,Санкт-Петербург
Ковалёва Марина Борисовна,24155216,Сборщик КК (2/2),ТД,ДС,7565,Санкт-Петербург
Иващенко Юрий Владимирович,24197843,Кассир-комплектовщик,ТД,ДС,7565,Санкт-Петербург
Герасимова Надежда Геннадьевна,24208373,Сборщик КК (2/2),ТД,ДС,7565,Санкт-Петербург
